cveID,vendorProject,product,cwes,CWE_Name,dateAdded,dueDate,attack_vector,CWE_Likelihood,attack_complexity,cvss_score,severity,knownRansomwareCampaignUse,likelihood_prob,complexity_prob,ransomware_probability,risk_category
CVE-2024-43461,Microsoft,Windows,CWE-451,User Interface (UI) Misrepresentation of Critical Information,2024-09-16,2024-10-07,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-8190,Ivanti,Cloud Services Appliance,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-09-13,2024-10-04,NETWORK,High,LOW,7.2,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-38217,Microsoft,Windows,CWE-693,Protection Mechanism Failure,2024-09-10,2024-10-01,NETWORK,,LOW,5.4,MEDIUM,Unknown,0.1,0.9,0.42,Medium
CVE-2024-38014,Microsoft,Windows,CWE-269,Improper Privilege Management,2024-09-10,2024-10-01,LOCAL,Medium,LOW,7.8,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2024-38226,Microsoft,Publisher,CWE-693,Protection Mechanism Failure,2024-09-10,2024-10-01,LOCAL,,LOW,7.3,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-40766,SonicWall,SonicOS,CWE-284,Improper Access Control,2024-09-09,2024-09-30,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2017-1000253,Linux,Kernel,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,2024-09-09,2024-09-30,LOCAL,High,LOW,7.8,HIGH,Known,0.9,0.9,0.9,High
CVE-2016-3714,ImageMagick,ImageMagick,CWE-20,Improper Input Validation,2024-09-09,2024-09-30,LOCAL,High,LOW,8.4,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-7262,Kingsoft,WPS Office,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-09-03,2024-09-24,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2021-20124,DrayTek,VigorConnect,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-09-03,2024-09-24,NETWORK,High,LOW,7.5,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2021-20123,DrayTek,VigorConnect,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-09-03,2024-09-24,NETWORK,High,LOW,7.5,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-7965,Google,Chromium V8,CWE-358,Improperly Implemented Security Check for Standard,2024-08-28,2024-09-18,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-38856,Apache,OFBiz,CWE-863,Incorrect Authorization,2024-08-27,2024-09-17,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-7971,Google,Chromium V8,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-08-26,2024-09-16,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-39717,Versa,Director,CWE-434,Unrestricted Upload of File with Dangerous Type,2024-08-23,2024-09-13,NETWORK,Medium,LOW,7.2,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2021-31196,Microsoft,Exchange Server,,,2024-08-21,2024-09-11,NETWORK,,LOW,7.2,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2022-0185,Linux,Kernel,CWE-190,Integer Overflow or Wraparound,2024-08-21,2024-09-11,LOCAL,Medium,LOW,8.4,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2021-33045,Dahua,IP Camera Firmware,CWE-287,Improper Authentication,2024-08-21,2024-09-11,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2021-33044,Dahua,IP Camera Firmware,CWE-287,Improper Authentication,2024-08-21,2024-09-11,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-23897,Jenkins,Jenkins Command Line Interface (CLI),CWE-27,Path Traversal: 'dir/../../filename',2024-08-19,2024-09-09,NETWORK,,LOW,9.8,CRITICAL,Known,0.1,0.9,0.42,Medium
CVE-2024-28986,SolarWinds,Web Help Desk,CWE-502,Deserialization of Untrusted Data,2024-08-15,2024-09-05,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2024-38107,Microsoft,Windows,CWE-416,Use After Free,2024-08-13,2024-09-03,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-38106,Microsoft,Windows,CWE-591,Sensitive Data Storage in Improperly Locked Memory,2024-08-13,2024-09-03,LOCAL,,HIGH,7.0,HIGH,Unknown,0.1,0.3,0.18,Low
CVE-2024-38193,Microsoft,Windows,CWE-416,Use After Free,2024-08-13,2024-09-03,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-38213,Microsoft,Windows,CWE-693,Protection Mechanism Failure,2024-08-13,2024-09-03,NETWORK,,LOW,6.5,MEDIUM,Unknown,0.1,0.9,0.42,Medium
CVE-2024-38178,Microsoft,Windows,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-08-13,2024-09-03,NETWORK,,HIGH,7.5,HIGH,Unknown,0.1,0.3,0.18,Low
CVE-2024-38189,Microsoft,Project,CWE-20,Improper Input Validation,2024-08-13,2024-09-03,NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-32113,Apache,OFBiz,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-08-07,2024-08-28,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-36971,Android,Kernel,CWE-416,Use After Free,2024-08-07,2024-08-28,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2018-0824,Microsoft,Windows,CWE-502,Deserialization of Untrusted Data,2024-08-05,2024-08-26,NETWORK,Medium,LOW,8.8,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2024-37085,VMware,ESXi,CWE-305,Authentication Bypass by Primary Weakness,2024-07-30,2024-08-20,NETWORK,,LOW,7.2,HIGH,Known,0.1,0.9,0.42,Medium
CVE-2023-45249,Acronis,Cyber Infrastructure (ACI),CWE-1393,Use of Default Password,2024-07-29,2024-08-19,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-5217,ServiceNow,"Utah, Vancouver, and Washington DC Now",CWE-184,Incomplete List of Disallowed Inputs,2024-07-29,2024-08-19,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-4879,ServiceNow,"Utah, Vancouver, and Washington DC Now",CWE-1287,Improper Validation of Specified Type of Input,2024-07-29,2024-08-19,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-39891,Twilio,Authy,CWE-203,Observable Discrepancy,2024-07-23,2024-08-13,NETWORK,,LOW,5.3,MEDIUM,Unknown,0.1,0.9,0.42,Medium
CVE-2012-4792,Microsoft,Internet Explorer,CWE-416,Use After Free,2024-07-23,2024-08-13,NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2022-22948,VMware,vCenter Server,CWE-276,Incorrect Default Permissions,2024-07-17,2024-08-07,NETWORK,Medium,LOW,6.5,MEDIUM,Unknown,0.6,0.9,0.72,High
CVE-2024-28995,SolarWinds,Serv-U,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),2024-07-17,2024-08-07,NETWORK,High,LOW,7.5,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-34102,Adobe,Commerce and Magento Open Source,CWE-611,Improper Restriction of XML External Entity Reference,2024-07-17,2024-08-07,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-36401,OSGeo,GeoServer,CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),2024-07-15,2024-08-05,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2024-23692,Rejetto,HTTP File Server,CWE-1336,Improper Neutralization of Special Elements Used in a Template Engine,2024-07-09,2024-07-30,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-38080,Microsoft,Windows ,CWE-190,Integer Overflow or Wraparound,2024-07-09,2024-07-30,LOCAL,Medium,LOW,7.8,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2024-38112,Microsoft,Windows,CWE-451,User Interface (UI) Misrepresentation of Critical Information,2024-07-09,2024-07-30,NETWORK,,HIGH,7.5,HIGH,Unknown,0.1,0.3,0.18,Low
CVE-2024-20399,Cisco,NX-OS,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-07-02,2024-07-23,LOCAL,High,LOW,6.7,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2020-13965,Roundcube,Webmail,CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),2024-06-26,2024-07-17,NETWORK,High,LOW,6.1,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2022-2586,Linux,Kernel,CWE-416,Use After Free,2024-06-26,2024-07-17,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2022-24816,OSGeo,JAI-EXT,CWE-94,Improper Control of Generation of Code ('Code Injection'),2024-06-26,2024-07-17,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2024-4358,Progress,Telerik Report Server,CWE-290,Authentication Bypass by Spoofing,2024-06-13,2024-07-04,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-26169,Microsoft,Windows,CWE-269,Improper Privilege Management,2024-06-13,2024-07-04,LOCAL,Medium,LOW,7.8,HIGH,Known,0.6,0.9,0.72,High
CVE-2024-32896,Android,Pixel,CWE-783,Operator Precedence Logic Error,2024-06-13,2024-07-04,LOCAL,Low,LOW,7.8,HIGH,Unknown,0.3,0.9,0.54,Medium
CVE-2024-4577,PHP Group,PHP,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-06-12,2024-07-03,NETWORK,High,LOW,9.8,CRITICAL,Known,0.9,0.9,0.9,High
CVE-2024-4610,Arm,Mali GPU Kernel Driver,CWE-416,Use After Free,2024-06-12,2024-07-03,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2017-3506,Oracle,WebLogic Server,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-06-03,2024-06-24,NETWORK,High,HIGH,7.4,HIGH,Unknown,0.9,0.3,0.66,Medium
CVE-2024-1086,Linux,Kernel,CWE-416,Use After Free,2024-05-30,2024-06-20,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-24919,Check Point,Quantum Security Gateways,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,2024-05-30,2024-06-20,NETWORK,High,LOW,8.6,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-4978,Justice AV Solutions,Viewer ,CWE-506,Embedded Malicious Code,2024-05-29,2024-06-19,NETWORK,,LOW,8.4,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-5274,Google,Chromium V8,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-05-28,2024-06-18,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2020-17519,Apache,Flink,CWE-552,Files or Directories Accessible to External Parties,2024-05-23,2024-06-13,NETWORK,,LOW,7.5,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-4947,Google,Chromium V8,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-05-20,2024-06-10,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2023-43208,NextGen Healthcare,Mirth Connect,CWE-502,Deserialization of Untrusted Data,2024-05-20,2024-06-10,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2024-4761,Google,Chromium Visuals,CWE-787,Out-of-bounds Write,2024-05-16,2024-06-06,NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2021-40655,D-Link,DIR-605 Router,CWE-863,Incorrect Authorization,2024-05-16,2024-06-06,NETWORK,High,LOW,7.5,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2014-100005,D-Link,DIR-600 Router,CWE-352,Cross-Site Request Forgery (CSRF),2024-05-16,2024-06-06,NETWORK,Medium,LOW,8.8,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2024-30040,Microsoft,Windows,CWE-20,Improper Input Validation,2024-05-14,2024-06-04,NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-30051,Microsoft,DWM Core Library,CWE-122,Heap-based Buffer Overflow,2024-05-14,2024-06-04,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-4671,Google,Chromium,CWE-416,Use After Free,2024-05-13,2024-06-03,NETWORK,High,LOW,9.6,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2023-7028,GitLab,GitLab CE/EE,CWE-284,Improper Access Control,2024-05-01,2024-05-22,NETWORK,,LOW,9.8,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-29988,Microsoft,SmartScreen Prompt,CWE-693,Protection Mechanism Failure,2024-04-30,2024-05-21,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-4040,CrushFTP,CrushFTP,CWE-1336,Improper Neutralization of Special Elements Used in a Template Engine,2024-04-24,2024-05-01,NETWORK,,LOW,10.0,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-20359,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-94,Improper Control of Generation of Code ('Code Injection'),2024-04-24,2024-05-01,LOCAL,Medium,LOW,6.0,MEDIUM,Unknown,0.6,0.9,0.72,High
CVE-2024-20353,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop'),2024-04-24,2024-05-01,NETWORK,,LOW,8.6,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2022-38028,Microsoft,Windows,,,2024-04-23,2024-05-14,LOCAL,,LOW,7.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-3400,Palo Alto Networks,PAN-OS,"CWE-20, CWE-77",,2024-04-12,2024-04-19,NETWORK,,LOW,10.0,CRITICAL,Unknown,0.1,0.9,0.42,Medium
CVE-2024-3273,D-Link,Multiple NAS Devices,CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),2024-04-11,2024-05-02,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-3272,D-Link,Multiple NAS Devices,CWE-798,Use of Hard-coded Credentials,2024-04-11,2024-05-02,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-29748,Android,Pixel,CWE-280,Improper Handling of Insufficient Permissions or Privileges ,2024-04-04,2024-04-25,LOCAL,,LOW,7.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-29745,Android,Pixel,CWE-908,Use of Uninitialized Resource,2024-04-04,2024-04-25,LOCAL,Medium,LOW,5.5,MEDIUM,Unknown,0.6,0.9,0.72,High
CVE-2023-24955,Microsoft,SharePoint Server,CWE-94,Improper Control of Generation of Code ('Code Injection'),2024-03-26,2024-04-16,NETWORK,Medium,LOW,7.2,HIGH,Known,0.6,0.9,0.72,High
CVE-2019-7256,Nice,Linear eMerge E3-Series,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-03-25,2024-04-15,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2021-44529,Ivanti,Endpoint Manager Cloud Service Appliance (EPM CSA),CWE-94,Improper Control of Generation of Code ('Code Injection'),2024-03-25,2024-04-15,NETWORK,Medium,LOW,9.8,CRITICAL,Unknown,0.6,0.9,0.72,High
CVE-2023-48788,Fortinet,FortiClient EMS,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),2024-03-25,2024-04-15,NETWORK,High,LOW,9.8,CRITICAL,Known,0.9,0.9,0.9,High
CVE-2024-27198,JetBrains,TeamCity,CWE-288,Authentication Bypass Using an Alternate Path or Channel,2024-03-07,2024-03-28,NETWORK,,LOW,9.8,CRITICAL,Known,0.1,0.9,0.42,Medium
CVE-2024-23225,Apple,Multiple Products,CWE-787,Out-of-bounds Write,2024-03-06,2024-03-27,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2024-23296,Apple,Multiple Products,CWE-787,Out-of-bounds Write,2024-03-06,2024-03-27,LOCAL,High,LOW,7.8,HIGH,Unknown,0.9,0.9,0.9,High
CVE-2023-21237,Android,Pixel,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,2024-03-05,2024-03-26,LOCAL,High,LOW,5.5,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2021-36380,Sunhillo,SureLine,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),2024-03-05,2024-03-26,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-21338,Microsoft,Windows,CWE-822,Untrusted Pointer Dereference,2024-03-04,2024-03-25,LOCAL,,LOW,7.8,HIGH,Known,0.1,0.9,0.42,Medium
CVE-2023-29360,Microsoft,Streaming Service,CWE-822,Untrusted Pointer Dereference,2024-02-29,2024-03-21,LOCAL,,LOW,8.4,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-1709,ConnectWise,ScreenConnect,CWE-288,Authentication Bypass Using an Alternate Path or Channel,2024-02-22,2024-02-29,NETWORK,,LOW,10.0,CRITICAL,Known,0.1,0.9,0.42,Medium
CVE-2020-3259,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,2024-02-15,2024-03-07,NETWORK,High,LOW,7.5,HIGH,Known,0.9,0.9,0.9,High
CVE-2024-21410,Microsoft,Exchange Server,CWE-287,Improper Authentication,2024-02-15,2024-03-07,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2024-21412,Microsoft,Windows,CWE-693,Protection Mechanism Failure,2024-02-13,2024-03-05,NETWORK,,LOW,8.1,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2024-21351,Microsoft,Windows,CWE-94,Improper Control of Generation of Code ('Code Injection'),2024-02-13,2024-03-05,NETWORK,Medium,LOW,7.6,HIGH,Unknown,0.6,0.9,0.72,High
CVE-2023-43770,Roundcube,Webmail,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),2024-02-12,2024-03-04,NETWORK,High,LOW,6.1,MEDIUM,Unknown,0.9,0.9,0.9,High
CVE-2024-21762,Fortinet,FortiOS,CWE-787,Out-of-bounds Write,2024-02-09,2024-02-16,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2023-4762,Google,Chromium V8,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-02-06,2024-02-27,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2022-48618,Apple,Multiple Products,CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,2024-01-31,2024-02-21,LOCAL,Medium,HIGH,7.0,HIGH,Unknown,0.6,0.3,0.48,Medium
CVE-2024-21893,Ivanti,"Connect Secure, Policy Secure, and Neurons",CWE-918,Server-Side Request Forgery (SSRF),2024-01-31,2024-02-02,NETWORK,,LOW,8.2,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2023-22527,Atlassian,Confluence Data Center and Server,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),2024-01-24,2024-02-14,NETWORK,High,LOW,9.8,CRITICAL,Known,0.9,0.9,0.9,High
CVE-2024-23222,Apple,Multiple Products,CWE-843,Access of Resource Using Incompatible Type ('Type Confusion'),2024-01-23,2024-02-13,NETWORK,,LOW,8.8,HIGH,Unknown,0.1,0.9,0.42,Medium
CVE-2023-34048,VMware,vCenter Server,CWE-787,Out-of-bounds Write,2024-01-22,2024-02-12,NETWORK,High,LOW,9.8,CRITICAL,Unknown,0.9,0.9,0.9,High
CVE-2023-35082,Ivanti,Endpoint Manager Mobile (EPMM) and MobileIron Core,CWE-287,Improper Authentication,2024-01-18,2024-02-08,NETWORK,High,LOW,9.8,CRITICAL,Known,0.9,0.9,0.9,High
CVE-2024-0519,Google,Chromium V8,CWE-787,Out-of-bounds Write,2024-01-17,2024-02-07,NETWORK,High,LOW,8.8,HIGH,Unknown,0.9,0.9,0.9,High
